,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
87,"('冬季', 2.2)","('消费', 2.0)","('旺季', 2.0)","('临近', 2.0)","('天然气', 2.0)","('全面', 1.0)","('开启', 1.0)",,,,,,,,,
88,"('净利', 2.0)","('同比', 2.0)","('金融', 2.0)","('科技', 2.0)","('亮点', 1.0)",,,,,,,,,,,
89,"('MSCI', 2.4)","('加码', 2.0)","('扩容', 2.0)","('增量', 2.0)","('资金', 2.0)",,,,,,,,,,,
90,"('净利', 2.0)","('季度', 2.0)","('备战', 2.0)","('开门红', 2.0)",,,,,,,,,,,,
91,"('改革', 3.04)","('创业', 2.0)","('方向', 2.0)","('推进', 2.0)","('多元化', 2.0)","('制度', 2.0)",,,,,,,,,,
92,"('报收', 2.0)","('金融', 2.0)","('净利', 2.0)","('增速', 2.0)","('食品', 2.0)","('饮料', 2.0)",,,,,,,,,,
93,"('财经', 2.0)","('博客', 1.0)",,,,,,,,,,,,,,
94,"('股票', 2.0)","('博客', 1.0)",,,,,,,,,,,,,,
95,"('区块', 2.0)","('概念', 2.0)","('风险', 2.0)","('教育', 1.0)",,,,,,,,,,,,
96,"('白马', 2.2)","('终结', 2.0)","('业绩', 2.0)","('引来', 2.0)","('不错', 1.0)",,,,,,,,,,,
97,"('水泥', 2.0)","('龙头', 2.0)","('企业', 2.0)","('季度', 2.0)","('业绩', 2.0)","('把握', 2.0)","('阶段性', 2.0)","('良机', 1.0)",,,,,,,,
98,"('芯片', 2.0)","('国产化', 2.0)","('进程', 2.0)","('加速', 2.0)","('概念', 2.0)","('机会', 2.0)",,,,,,,,,,
99,"('华为', 2.0)","('称霸', 2.0)","('市场', 2.0)","('份额', 2.0)","('苹果', 2.0)","('概念', 2.0)","('起飞', 1.0)",,,,,,,,,
100,"('去年', 2.2)","('全年', 2.0)","('净利', 2.0)",,,,,,,,,,,,,
101,"('MSCI', 2.4)","('策略', 2.0)","('扩容', 2.0)","('中盘', 2.0)","('影响', 2.0)",,,,,,,,,,,
102,"('季度', 2.0)","('青睐', 2.0)","('医药', 2.0)","('科技', 2.0)",,,,,,,,,,,,
103,"('公司', 2.0)","('季度', 2.0)","('现身', 2.0)","('流通', 2.0)","('股东', 2.0)","('名单', 1.0)",,,,,,,,,,
104,"('发生', 2.0)","('集体', 2.0)","('白马', 2.0)",,,,,,,,,,,,,
105,"('创业', 2.0)","('重组', 2.0)","('上市', 2.0)","('解禁', 2.0)","('注册', 2.0)","('改革', 2.0)","('日程', 1.0)",,,,,,,,,
106,"('股票', 2.0)","('市值', 2.0)","('全球', 2.0)","('创业', 2.0)","('发展', 2.0)","('含金量', 2.0)","('几何', 2.0)",,,,,,,,,
107,"('创业', 2.0)","('生日', 2.0)",,,,,,,,,,,,,,
108,"('证券', 4.39)","('广州', 2.2)","('大手笔', 2.0)","('中信', 2.0)","('收购', 2.0)",,,,,,,,,,,
109,"('白酒', 2.0)","('上市', 2.0)","('公司', 2.0)","('净利', 2.0)","('增速', 2.0)","('下滑', 2.0)","('老白干', 2.0)","('下调', 2.0)","('评级', 1.0)",,,,,,,
110,"('业绩', 2.0)","('分化', 2.0)","('加速', 2.0)","('区域', 2.0)","('何方', 1.1)",,,,,,,,,,,
111,"('晚间', 2.2)","('公告', 2.0)","('热点', 2.0)","('追踪', 2.0)","('中信', 2.0)","('证券', 2.0)","('收购', 2.0)","('通过', 2.0)","('股票', 2.0)",,,,,,,
112,"('明日', 2.2)","('运营', 2.0)","('启动', 2.0)","('计划', 2.0)","('概念', 2.0)","('起飞', 2.0)",,,,,,,,,,
113,"('环保', 4.39)","('行业', 2.0)","('报告', 2.0)","('利润', 2.0)",,,,,,,,,,,,
114,"('暴涨', 2.0)","('猛跌', 2.0)","('资金', 2.0)","('逃跑', 2.0)","('新股', 2.0)","('诞生', 1.0)",,,,,,,,,,
115,"('京东方', 2.0)","('天马', 2.0)","('面板', 2.0)",,,,,,,,,,,,,
116,"('辅导', 2.0)","('亲属', 2.0)","('入股', 2.0)","('工业', 2.0)","('IPO', 1.2)",,,,,,,,,,,
117,"('证券', 4.39)","('广州', 2.2)","('中信', 2.0)","('收购', 2.0)","('股权', 2.0)","('证监会', 2.0)","('核准', 1.0)",,,,,,,,,
